,S.no,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,taxAssessedValue,lotAreaValue,lotAreaUnit,Bedrooms,Bathrooms,Full_bathrooms,Flooring,Heating_features,Cooling_features,Appliances_included,Laundry_features,Total_structure_area,Total_interior_livable_area,Fireplace_features,Parking_features,Stories,Pool_features,Lot_features,Home_type,Architectural_style,Property_subType,Roof,Year_built,Sewer_information,Water_information,Region,Interior_features,Total_number_of_fireplaces,Total_spaces,Garage_spaces,Covered_spaces,Livability,Crime,Employment,Housing,Schools
178,183,19664674,1006 Lovell Ave,95008,Campbell,CA,37.271973,-121.966515,1520000,2,4,1189,SINGLE_FAMILY,-1,1520000,4028,906891,5806.548,sqft,4,2,2,, Wall Furnace, None,,,1189," 1,189 sqft"," Family Room, Wood Burning"," Attached, On Street",1,,, SingleFamily,," Residential, Single Family Residence", Composition,1961, Public Sewer, Public, Campbell,,,2,2,2,78,D+,A-,B-,A-
179,184,19593191,1331 El Moro Dr,95008,Campbell,CA,37.284424,-121.925545,2695000,3,4,2350,SINGLE_FAMILY,-1,2696457,6707,340318,9809.712,sqft,4,3,3, Hardwood, Central Forced Air, Central Air," Electric Cooktop, Dishwasher, Disposal, Microwave, Double Oven, Refrigerator",,2350," 2,350 sqft", Wood Burning," Attached, Electric Vehicle Charging Station(s), Electric Vehicle Hookup Level 2 (240 volts)",1,, City Lot, SingleFamily,," Residential, Single Family Residence", Shingle,1955,, Public, Campbell, Walk-In Closet(s),1,2,2,2,78,D+,A-,B-,A-
180,185,153286470,10 Superior Dr,95008,Campbell,CA,37.28644,-121.97392,2150000,2,9,3948,MULTI_FAMILY,-1,2150400,4241,592399,8367.876,sqft,9,,," Carpet, Hardwood, Vinyl / Linoleum", Central Forced Air - Gas, Gas,, Coin Operated,3948," 3,948 sqft",," Detached, Open",2,, Low Maintenance, MultiFamily,," Multi Family, Quadruplex"," Composition,Shingle",1969, Public Sewer, Public, Campbell,,,4,4,4,78,D+,A-,B-,A-
181,186,19672689,101 Redding Rd APT B2,95008,Campbell,CA,37.266247,-121.94729,888000,2,2,1279,TOWNHOUSE,-1,893959,3399,441582,945.252,sqft,2,2,1," Carpet, Laminate", Gas, None," Dishwasher, Disposal, Range Hood, Oven Range - Electric, Refrigerator, Washer/Dryer",,1279," 1,279 sqft", Gas Starter," Attached, Common",2,," Low Maintenance, City Lot", Townhouse,," Residential, Townhouse", Shingle,1980, Public Sewer, Public, Campbell, Walk-In Closet(s),1,1,1,1,78,D+,A-,B-,A-
182,187,244591158,160 Payman Pl,95008,Campbell,CA,37.284023,-121.97995,1999999,4,4,2015,SINGLE_FAMILY,-1,2017700,4984,1812020,3105.828,sqft,4,4,3," Carpet, Tile", Central Forced Air - Gas, Central Air,," Electricity Hookup (220V), Gas Hookup, Upper Floor",2015," 2,015 sqft", Other, Attached,2,,, SingleFamily,," Residential, Single Family Residence", Shingle,2017,, Individual Water Meter, Campbell,,1,2,2,2,78,D+,A-,B-,A-
183,188,153341159,817 Sharmon Palms Ln,95008,Campbell,CA,37.274895,-121.96195,1799000,2,8,3328,MULTI_FAMILY,-1,1829400,3696,369239,8899.308,sqft,8,,,, Wall Furnace, None,,,3328," 3,328 sqft",, Carport,2,,, MultiFamily,," Multi Family, Quadruplex", Tar/Gravel,1961, Public Sewer, Public, Campbell,,,3,,4,78,D+,A-,B-,A-
184,189,19587864,392 Harrison Ave,95008,Campbell,CA,37.292797,-121.942276,2598000,3,5,3546,SINGLE_FAMILY,-1,2537351,7795,526314,9417.672,sqft,5,3,3,, Central Forced Air," Ceiling Fan(s), Central Air, Zoned",,,3546," 3,546 sqft"," Gas Log, Wood Burning"," Attached, Off Street, On Street",2,,, SingleFamily,," Residential, Single Family Residence", Composition,1949, Public Sewer, Public, Campbell,,2,2,2,2,78,D+,A-,B-,A-
185,190,19592698,1061 McBain Ave,95008,Campbell,CA,37.289467,-121.93067,2998000,3,4,2480,SINGLE_FAMILY,-1,3003004,6087,1700000,9369.756,sqft,4,3,3, Wood," Central Forced Air - Gas, Fireplace, Gas", Central Air," Gas Cooktop, Dishwasher, Exhaust Fan, Freezer, Disposal, Range Hood, Microwave, Oven Range - Gas, Refrigerator, Wine Refrigerator, Tankless Water Heater"," Electricity Hookup (220V), Gas Hookup, In Utility Room, Inside, Tub / Sink, Mud Room",2480," 2,480 sqft"," Family Room, Insert, Other"," Detached, Electric Vehicle Charging Station(s), Off Site, Electric Vehicle Hookup Level 2 (240 volts)",1,," Level, Sprinklers - Lawn", SingleFamily, Cottage," Residential, Single Family Residence"," Composition,Flat / Low Pitch,Shingle",1950," Septic Connected, Public Sewer"," Individual Water Meter, Irrigation Connected, Public", Campbell," Storage, High Ceilings, Vaulted Ceiling(s), Walk-In Closet(s)",1,2,2,2,78,D+,A-,B-,A-
186,191,61322892,861 Apricot Ave,95008,Campbell,CA,37.283665,-121.93449,1399888,3,3,1679,TOWNHOUSE,-1,1399896,4320,1059740,1380.852,sqft,3,3,2,, Central Forced Air, Central Air,,,1679," 1,679 sqft"," Gas, Living Room, Master Bedroom", Attached,2,,, Townhouse,," Residential, Townhouse", Composition,2004, Public Sewer, Public, Campbell,,2,2,2,2,78,D+,A-,B-,A-
187,192,19592652,1111 Fewtrell Dr,95008,Campbell,CA,37.288097,-121.92973,2300000,2,4,2244,SINGLE_FAMILY,-1,2301046,5128,107202,8041.176,sqft,4,2,2," Carpet, Laminate, Tile, Other", Central," Ceiling Fan(s), Window Unit(s)"," Free-Standing Gas Oven, Free-Standing Gas Range, Double Oven"," Cabinets, Electric Dryer Hookup, Inside Room, Laundry Room",2244," 2,244 sqft", Wood Burning," RV Possible, Detached, Garage Faces Front, Uncovered Parking Space, Driveway",2,," Auto Sprinkler F&R, Sprinklers In Front, Curb(s)/Gutter(s)", SingleFamily,," Single Family Residence, Flat", Composition,1947,, Public, Campbell," Loft, Master Bedroom, Living Room",1,2,1,1,78,D+,A-,B-,A-
188,193,19659504,1159 Archer Way,95008,Campbell,CA,37.270058,-121.977745,2350000,3,6,2902,SINGLE_FAMILY,-1,2268638,6793,1238791,7405.2,sqft,6,3,3," Laminate, Carpet, Other", Other, Other," Disposal, Microwave, Range, Refrigerator, Dryer, Washer", In Unit,2902," 2,902 sqft", Recreation Room, Attached,2, None, Corner Lot, SingleFamily, Other, Single Family Residence,,1968, Public Sewer,, Campbell," Bonus/Plus Room, Den",1,2,2,2,78,D+,A-,B-,A-
189,194,19663817,680 Budd Ave,95008,Campbell,CA,37.279057,-121.961586,1635000,2,3,1275,SINGLE_FAMILY,-1,1755700,3999,627778,5998.212,sqft,3,2,2," Tile, Wood", Central, Central Air,, Inside Room,1275," 1,275 sqft", Wood Burning, Attached,1,, Other, SingleFamily,, Single Family Residence, Composition,1964, Public Sewer, Public, Campbell,,2,3,3,3,78,D+,A-,B-,A-
190,195,19588347,235 N 3rd St,95008,Campbell,CA,37.290485,-121.947464,1449900,3,3,1557,SINGLE_FAMILY,-1,1414806,4250,813026,3920.4,sqft,3,3,2," Hardwood, Carpet", Forced Air, None," Dishwasher, Disposal, Oven, Gas Water Heater", Laundry Room,1557," 1,557 sqft"," Gas Starter, Living Room", Attached,2, None, Regular, SingleFamily, Traditional, Single Family Residence, Shingle,1989, Public Sewer, Public, Campbell," Dining Area, Breakfast Nook",1,2,2,2,78,D+,A-,B-,A-
191,196,19669250,92 Sunnyside Ave,95008,Campbell,CA,37.282635,-121.94816,2838000,4,4,2762,SINGLE_FAMILY,-1,2756100,6443,617491,8698.932,sqft,4,4,4,, Central Forced Air, Central Air,,,2762," 2,762 sqft"," Family Room, Other", Detached,1,,, SingleFamily,," Residential, Single Family Residence", Other,1906," Public Sewer, Sump Pump", Public, Campbell,,2,2,2,2,78,D+,A-,B-,A-
192,197,19610469,334 W Rincon Ave,95008,Campbell,CA,37.2842,-121.95575,1325000,3,3,1650,SINGLE_FAMILY,-1,1293293,4106,883366,1973.268,sqft,3,3,2," Carpet, Stone, Other", Central Forced Air, Central Air," Dishwasher, Exhaust Fan, Disposal, Ice Maker, Microwave, Oven Range, Refrigerator", Inside,1650," 1,650 sqft"," Insert, Living Room, Pellet Stove, Wood Burning"," Attached, Guest, Off Street, Parking Lot",2,,, SingleFamily,," Residential, Single Family Residence"," Composition,Shingle",1979, Public Sewer, Public, Campbell,,1,1,2,2,78,D+,A-,B-,A-
193,198,19588608,626 Cypress Ln,95008,Campbell,CA,37.29081,-121.93848,999000,3,3,1358,TOWNHOUSE,-1,982500,3827,724075,1742.4,sqft,3,3,3,, Forced Air, None," Dishwasher, Exhaust Fan, Disposal, Microwave, Refrigerator, Washer/Dryer", Upper Floor,1358," 1,358 sqft"," Gas Log, Living Room", Attached,2,,, Townhouse,," Residential, Townhouse", Tile,1979, Public Sewer, Public, Campbell, Vaulted Ceiling(s),1,2,2,2,78,D+,A-,B-,A-
194,199,19610289,2575 Winchester Blvd,95008,Campbell,CA,37.276413,-121.951,1199000,1,3,936,SINGLE_FAMILY,-1,1199000,3705,486683,8080.38,sqft,3,1,1,, Wall Furnace, None,,,936, 936 sqft,, Attached,,,, SingleFamily,," Residential, Single Family Residence", Composition,1957, Public Sewer, Public, Campbell,,,2,2,2,78,D+,A-,B-,A-
195,200,19610290,2585 Winchester Blvd,95008,Campbell,CA,37.276234,-121.951126,1199000,1,3,936,SINGLE_FAMILY,-1,1199000,3740,377333,7348.572,sqft,3,1,1,, Wall Furnace, None,,,936, 936 sqft,, Attached,,,, SingleFamily,," Residential, Single Family Residence", Composition,1957, Public Sewer, Public, Campbell,,,2,2,2,78,D+,A-,B-,A-
196,167,2063226608,"The Violet Plan, Oak Tree Circle",95032,Los Gatos,CA,37.256832,-121.95256,2395000,4,4,2300,SINGLE_FAMILY,-1,2395000,5000,,0,,4,4,3,,,,,,2300," 2,300 sqft",, Garage - Attached,,,, SingleFamily,,, Composition,,,, Los Gatos,,,,,2,86,A+,A,C,A+
197,172,2065483608,"The Wisteria Plan, Oak Tree Circle",95032,Los Gatos,CA,37.256832,-121.95256,2898000,4,4,2487,SINGLE_FAMILY,-1,2898000,5000,,0,,4,4,3,,,,,,2487," 2,487 sqft",, Garage - Attached,,,, SingleFamily,,, Composition,,,, Los Gatos,,,,,2,86,A+,A,C,A+
198,177,2065483607,"The Mulberry Plan, Oak Tree Circle",95032,Los Gatos,CA,37.256832,-121.95256,2998000,4,4,2734,SINGLE_FAMILY,-1,2998000,5000,,0,,4,4,4,,,,,,2734," 2,734 sqft",, Garage - Attached,,,, SingleFamily,,, Composition,,,, Los Gatos,,,,,2,86,A+,A,C,A+
199,180,2064151821,"The Camellia Plan, Oak Tree Circle",95032,Los Gatos,CA,37.256832,-121.95256,2495000,4,4,2223,SINGLE_FAMILY,-1,2495000,5000,,0,,4,4,3,,,,,,2223," 2,223 sqft",, Garage - Attached,,,, SingleFamily,,, Composition,,,, Los Gatos,,,,,2,86,A+,A,C,A+
200,275,19743619,332 Bachman Ave,95030,Los Gatos,CA,37.22925,-121.984825,3700000,3,4,2634,SINGLE_FAMILY,-1,3724800,7234,1225256,7740.612,sqft,4,3,3," Carpet, Hardwood, Tile", Central Forced Air, None," Gas Cooktop, Dishwasher, Disposal, Microwave, Oven", Electricity Hookup (220V),2634," 2,634 sqft"," Family Room, Living Room", Attached,,," Level, City Lot", SingleFamily,," Residential, Single Family Residence", Shake,1993, Public Sewer,, Los Gatos," High Ceilings, Vaulted Ceiling(s), Walk-In Closet(s)",2,2,2,2,86,A+,A,C,A+
201,276,19748238,212 Union Ave,95032,Los Gatos,CA,37.240368,-121.930855,1988000,2,4,1612,SINGLE_FAMILY,-1,2006984,4570,83541,6446.88,sqft,4,2,2," Hardwood, Tile", Central Forced Air," Central Air, Whole House / Attic Fan"," Gas Cooktop, Dishwasher, Exhaust Fan, Disposal, Range Hood, Microwave, Oven, Electric Oven, Refrigerator", In Garage,1612," 1,612 sqft"," See Through, Gas Starter, Wood Burning"," Attached, Garage Door Opener, On Street",,,, SingleFamily,," Residential, Single Family Residence", Composition,1964, Public Sewer,, Los Gatos,,2,2,2,1,86,A+,A,C,A+
202,277,19678941,15439 National Ave,95032,Los Gatos,CA,37.244057,-121.95002,2998000,3,4,2386,SINGLE_FAMILY,-1,2892188,6710,1947771,0.2783,acres,4,3,2," Carpet, Hardwood", Central Forced Air, Central Air, Gas Cooktop, Electricity Hookup (220V),2386," 2,386 sqft"," Gas, Living Room, Master Bedroom", Attached,,, City Lot, SingleFamily,," Residential, Single Family Residence", Composition,2002,,, Los Gatos,,2,2,2,1,86,A+,A,C,A+
203,278,19749151,16800 Frank Ave,95032,Los Gatos,CA,37.23898,-121.96387,3499000,3,4,2565,SINGLE_FAMILY,-1,3501300,7234,918021,7997.616,sqft,4,3,2," Carpet, Hardwood, Marble, Tile", Central Forced Air," Ceiling Fan(s), Central Air, Zoned"," Gas Cooktop, Dishwasher, Disposal, Ice Maker, Microwave, Gas Oven, Refrigerator"," Inside, Upper Floor",2565," 2,565 sqft"," Family Room, Gas Log"," Detached, Parking Lot",,,, SingleFamily,," Residential, Single Family Residence", Composition,1994, Public Sewer,, Los Gatos," Storage, High Ceilings, Vaulted Ceiling(s), Walk-In Closet(s)",3,2,2,2,86,A+,A,C,A+
204,279,19667506,109 Cedarcrest Pl,95032,Los Gatos,CA,37.25634,-121.96912,1648000,2,3,1409,CONDO,-1,1659060,3614,499877,0,,3,2,2,, Central Forced Air, Central Air,,,1409," 1,409 sqft", Family Room, Attached,,,, Condo,," Residential, Condominium", Composition,1977, Public Sewer,, Los Gatos,,2,2,2,1,86,A+,A,C,A+
205,280,19679773,15400 Winchester Blvd APT 48,95030,Los Gatos,CA,37.24458,-121.973274,1578000,3,3,1800,TOWNHOUSE,-1,1592200,5221,1582548,2151.864,sqft,3,3,2," Carpet, Laminate, Tile", Central Forced Air, Central Air," Electric Cooktop, Dishwasher, Microwave, Oven Range - Built-In, Refrigerator", Inside,1800," 1,800 sqft", Living Room, Attached,,, City Lot, Townhouse,," Residential, Townhouse", Shingle,1972, Public Sewer,, Los Gatos,,2,2,2,2,86,A+,A,C,A+
206,281,19666054,738 Bicknell Rd,95030,Los Gatos,CA,37.25095,-121.98376,5999000,6,4,4652,SINGLE_FAMILY,-1,6002129,10634,3212758,0.4926,acres,4,6,4," Hardwood, Marble"," Central Forced Air - Gas, Fireplace, Other"," Ceiling Fan(s), Central Air"," Gas Cooktop, Dishwasher, Exhaust Fan, Freezer, Disposal, Range Hood, Microwave, Oven, Electric Oven, Refrigerator, Warming Drawer, Wine Refrigerator, Tankless Water Heater, Water Filter - Owned, Water Purifier Owned, Water Softener Owned, Dryer, Washer/Dryer"," Gas Hookup, Inside",4652," 4,652 sqft"," Gas, Living Room"," Attached, Covered, Electric Vehicle Charging Station(s)",,," Level, Paved, Low Maintenance, Sprinklers - Lawn", SingleFamily,," Residential, Single Family Residence", Tile,1967, Public Sewer,, Los Gatos," Built-in Vacuum, High Ceilings, Vaulted Ceiling(s), Walk-In Closet(s), Thermostat Controller, Audio / Video Prewired",2,2,2,1,86,A+,A,C,A+
207,282,2061512078,15127 Short Rd #133,95032,Los Gatos,CA,37.234642,-121.94813,1228000,2,1,1231,CONDO,-1,1228000,5000,,0,,1,2,1," Carpet, Hardwood, Tile", Central Forced Air, Central Air," Gas Cooktop, Disposal, Ice Maker, Refrigerator, Tankless Water Heater", In Utility Room,1231," 1,231 sqft",," Common, Detached, Electric Vehicle Hookup Level 2 (240 volts)",,, City Lot, Condo,," Residential, Condominium", Other,2022, Public Sewer,, Los Gatos," Walk-In Closet(s), Thermostat Controller",1,1,1,2,86,A+,A,C,A+
208,283,19666982,109 Calle El Padre,95032,Los Gatos,CA,37.261402,-121.98115,2495000,3,5,2364,SINGLE_FAMILY,-1,2400000,6372,530372,8028.108,sqft,5,3,3, Wood, Central," Ceiling Fan(s), Central Air",, Inside,2364," 2,364 sqft"," Insert, Living Room, Gas Log"," Attached, Electric Vehicle Charging Station(s), Guest, Driveway",,," Cul-De-Sac, Shape Regular, Low Maintenance", SingleFamily,, Single Family Residence, Composition,1962, In & Connected,, Los Gatos,,2,2,2,1,86,A+,A,C,A+
209,284,2066380894,"The Towns Plan 2 Plan, Bellaterra @ North 40",95032,Los Gatos,CA,37.24821,-121.95694,1704000,3,2,1508,SINGLE_FAMILY,-1,1704000,5000,,0,,2,3,2,," Forced air, Gas", Central,,,1508," 1,508 sqft",, Garage - Attached,,,, SingleFamily,,, Shake / Shingle,,,, Los Gatos,,2,,,,86,A+,A,C,A+
210,285,19748751,490 Santa Rosa Dr,95032,Los Gatos,CA,37.22285,-121.91504,4900000,5,5,5265,SINGLE_FAMILY,-1,4900700,9169,2845600,0.9756,acres,5,5,4," Carpet, Hardwood, Marble, Stone"," Central Forced Air - Gas, Fireplace, Heating - 2+ Zones, Solar"," Central Air, Zoned"," Dishwasher, Exhaust Fan, Disposal, Range Hood, Oven Range - Built-In, Refrigerator, Trash Compactor, Warming Drawer"," In Utility Room, Inside, Tub / Sink",5265," 5,265 sqft"," Family Room, Living Room, Master Bedroom, Wood Burning, Other"," Attached, Garage Door Opener, Off Street, On Street, Oversized",,,, SingleFamily,," Residential, Single Family Residence", Tile,1984, Public Sewer,, Los Gatos," Storage, High Ceilings, Beamed Ceilings, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar",3,3,3,3,86,A+,A,C,A+
211,286,19750853,17390 High St,95030,Los Gatos,CA,37.215878,-121.965645,6500000,6,5,5010,SINGLE_FAMILY,-1,6500900,12123,4940538,0.954,acres,5,6,5," Carpet, Hardwood, Tile"," Central Forced Air - Gas, Forced Air, Heating - 2+ Zones"," Central Air, Zoned"," Dishwasher, Freezer, Disposal, Ice Maker, Microwave, Double Oven, Oven Range - Built-In, Refrigerator"," Gas Hookup, In Utility Room, Inside",5010," 5,010 sqft"," Gas, Living Room"," Detached, Electric Gate, Garage Door Opener, Guest, On Street, Parking Lot, Electric Vehicle Hookup Level 2 (240 volts)",,," Grade - Mostly Level, Views, City Lot", SingleFamily,," Residential, Single Family Residence", Tile,2018," Public Sewer, Sewer in Street",, Los Gatos," Storage, High Ceilings, Walk-In Closet(s), Thermostat Controller",10,3,3,2,86,A+,A,C,A+
212,287,2066380895,"The Flats Plan 2 Plan, Bellaterra @ North 40",95032,Los Gatos,CA,37.24821,-121.95694,1448000,2,1,1263,CONDO,-1,1448000,5000,,0,,1,2,1,," Forced air, Gas", Central,,,1263," 1,263 sqft",, Garage - Attached,,,, Condo,,, Shake / Shingle,,,, Los Gatos,,1,,,,86,A+,A,C,A+
213,288,19679100,166 Lester Ln,95032,Los Gatos,CA,37.245796,-121.95298,1798000,2,3,1296,SINGLE_FAMILY,-1,1811900,4356,348089,6220.368,sqft,3,2,2," Hardwood, Stone, Tile", Central Forced Air - Gas," Ceiling Fan(s), Central Air, Whole House / Attic Fan"," Dishwasher, Microwave, Oven Range - Gas, Refrigerator, Washer/Dryer",,1296," 1,296 sqft", Wood Burning," Attached, On Street",,," Views, Low Maintenance, Sprinklers - Lawn, City Lot", SingleFamily,," Residential, Single Family Residence"," Composition,Shingle",1958, Public Sewer,, Los Gatos," Attic Fan, Whole House Fan",2,2,2,1,86,A+,A,C,A+
214,289,19679354,119 La Cienega Ct,95032,Los Gatos,CA,37.250683,-121.96321,2250000,2,3,1555,SINGLE_FAMILY,-1,2262300,4498,1865629,6394.608,sqft,3,2,2, Laminate, Central Forced Air - Gas, Central Air," Gas Cooktop, Dishwasher, Exhaust Fan, Disposal, Range Hood, Microwave, Refrigerator", In Garage,1555," 1,555 sqft", Wood Burning," Attached, Off Street",,," Level, Pie Shaped", SingleFamily,," Residential, Single Family Residence"," Composition,Shingle",1958, Public Sewer,, Los Gatos,,2,2,2,1,86,A+,A,C,A+
215,290,19750188,16488 Bonnie Ln,95032,Los Gatos,CA,37.22885,-121.95421,3398000,4,4,2730,SINGLE_FAMILY,-1,3426600,10146,493519,0.269,acres,4,4,3," Hardwood, Tile", Central Forced Air, Central Air,, Inside,2730," 2,730 sqft"," Family Room, Living Room"," Detached, Off Street",,,, SingleFamily,," Residential, Single Family Residence"," Composition,Shingle",1938, Public Sewer,, Los Gatos," Built-in Vacuum, Vaulted Ceiling(s)",2,2,2,2,86,A+,A,C,A+
216,291,2067047778,239 Vista De Sier,95030,Los Gatos,CA,37.21991,-121.963425,2998000,4,3,2127,SINGLE_FAMILY,-1,2998000,5000,,0.4371,acres,3,4,2," Carpet, Hardwood", Central Forced Air, None,," In Utility Room, Inside",2127," 2,127 sqft"," Family Room, Living Room, Other"," Attached, Off Street, On Street",,,, SingleFamily,," Residential, Single Family Residence", Shake,1975, Public Sewer,, Los Gatos," Beamed Ceilings, Vaulted Ceiling(s), Walk-In Closet(s)",2,2,2,2,86,A+,A,C,A+
217,292,2072362664,100 Towne Ter,95032,Los Gatos,CA,37.230595,-121.97821,2995000,2,3,1679,SINGLE_FAMILY,-1,2995000,5000,,5201.064,sqft,3,2,2," Hardwood, Tile", Central Forced Air - Gas, Central Air," Gas Cooktop, Dishwasher, Exhaust Fan, Range Hood, Ice Maker, Microwave, Oven Range - Built-In, Oven Range - Gas, Refrigerator", Inside,1679," 1,679 sqft"," Gas Log, Living Room"," Detached, Garage Door Opener",,," Low Maintenance, City Lot", SingleFamily,," Residential, Single Family Residence", Tile,2010,,, Los Gatos," High Ceilings, Beamed Ceilings, Walk-In Closet(s), Thermostat Controller, Audio / Video Prewired",1,1,1,1,86,A+,A,C,A+
218,293,19751588,1795 Foster Rd,95030,Los Gatos,CA,37.20725,-121.97298,5700000,4,4,5055,SINGLE_FAMILY,-1,5700037,10481,2183250,1.7867,acres,4,4,3," Carpet, Stone, Travertine, Wood", Central Forced Air - Gas," Central Air, Zoned"," Gas Cooktop, Dishwasher, Disposal, Oven, Double Oven, Refrigerator"," In Utility Room, Inside",5055," 5,055 sqft"," Family Room, Living Room", Attached,,," Grade - Hillside, Grade - Sloped Down, City Lot", SingleFamily,," Residential, Single Family Residence"," Metal,Wood",2000," Septic Tank, Septic Tank / Pump",, Los Gatos," High Ceilings, Beamed Ceilings, Vaulted Ceiling(s), Walk-In Closet(s)",2,2,2,2,86,A+,A,C,A+
219,294,19748983,30 Roberts Rd,95032,Los Gatos,CA,37.23302,-121.97531,3900000,4,4,3188,TOWNHOUSE,-1,3900000,6046,1429125,0.3444,acres,4,4,4," Hardwood, Tile", Central Forced Air - Gas," Central Air, Zoned"," Gas Cooktop, Dishwasher, Disposal, Microwave, Gas Oven, Refrigerator, Wine Refrigerator, Washer/Dryer", Inside,3188," 3,188 sqft",," Guest, Underground",,, Low Maintenance, Townhouse,," Residential, Townhouse", Flat / Low Pitch,2021, Public Sewer,, Los Gatos," High Ceilings, Walk-In Closet(s), Wet Bar, Thermostat Controller",2,2,2,,86,A+,A,C,A+
220,295,19744661,1 Bayview Ave UNIT 10,95030,Los Gatos,CA,37.22385,-121.988205,2649000,3,3,2437,TOWNHOUSE,-1,2682800,6905,1636460,932.184,sqft,3,3,3," Tile, Wood", Central Forced Air, Central Air," Exhaust Fan, Self Cleaning Oven", In Utility Room,2437," 2,437 sqft"," Gas, Insert, Living Room", Attached,,, City Lot, Townhouse,," Residential, Townhouse", Composition,1980,,, Los Gatos,,2,2,2,,86,A+,A,C,A+
221,296,19750899,17560 Mireval Rd,95030,Los Gatos,CA,37.21318,-121.954346,2395000,1,2,1175,SINGLE_FAMILY,-1,2395004,3829,1041569,1.4056,acres,2,1,1, Hardwood, Central Forced Air, Central Air," Dishwasher, Microwave, Oven Range - Electric, Refrigerator", In Utility Room,1175," 1,175 sqft", Wood Burning, Attached,,, City Lot, SingleFamily,," Residential, Single Family Residence", Composition,1951, Public Sewer,, Los Gatos, Vaulted Ceiling(s),2,2,2,1,86,A+,A,C,A+
222,297,19678947,15385 National Ave,95032,Los Gatos,CA,37.244747,-121.94988,1885000,2,2,1056,SINGLE_FAMILY,-1,1899100,3759,331511,10707.048,sqft,2,2,2,," Central Forced Air, Central Forced Air - Gas", None,,,1056," 1,056 sqft", Family Room, Carport,,,, SingleFamily,," Residential, Single Family Residence", Shingle,1923,,, Los Gatos,,,,,1,86,A+,A,C,A+
223,298,19749961,451 Alberto Way UNIT D251,95032,Los Gatos,CA,37.228912,-121.971634,694950,2,2,1076,CONDO,-1,697919,3393,719504,0,,2,2,2," Carpet, Granite, Laminate, Tile", Central Forced Air," Ceiling Fan(s), Central Air"," Electric Cooktop, Dishwasher, Exhaust Fan, Disposal, Range Hood, Washer/Dryer"," Electricity Hookup (110V), Inside, Tub / Sink, Upper Floor",1076," 1,076 sqft",," Assigned, Carport, Electric Gate, Parking Lot",,,, Condo,," Residential, Condominium", Composition,1978, Public Sewer,, Los Gatos, Walk-In Closet(s),3,3,1,1,86,A+,A,C,A+
224,299,19668146,14225 Lora Dr APT 87,95032,Los Gatos,CA,37.262608,-121.977425,699000,2,2,1050,CONDO,-1,701002,3170,630706,1049.796,sqft,2,2,2, Wood, Central Forced Air - Gas, Other," Dishwasher, Range Hood, Gas Oven, Oven Range - Built-In, Refrigerator, Trash Compactor",,1050," 1,050 sqft",, Carport,,,, Condo,," Residential, Condominium", Composition,1963, Public Sewer,, Los Gatos,,,,,1,86,A+,A,C,A+
225,300,2061669406,120 College Ter APT F,95030,Los Gatos,CA,37.219078,-121.98424,1599000,3,3,1521,TOWNHOUSE,-1,1599000,5000,,1102.068,sqft,3,3,2, Hardwood, Central Forced Air - Gas, Central Air," Dishwasher, Oven Range - Gas, Refrigerator", In Garage,1521," 1,521 sqft", Wood Burning, Attached,,, City Lot, Townhouse,," Residential, Townhouse", Composition,1973, Public Sewer,, Los Gatos,,2,2,2,2,86,A+,A,C,A+
226,301,19744300,18400 Overlook Rd UNIT 61,95030,Los Gatos,CA,37.2269,-121.99409,1695000,3,3,1916,TOWNHOUSE,-1,1748526,5499,577707,1507.176,sqft,3,3,2, Hardwood, Central Forced Air - Gas, Central Air, Gas Cooktop," In Utility Room, Inside",1916," 1,916 sqft"," Gas, Living Room, Wood Burning"," Assigned, Carport, Covered",,," Views, City Lot", Townhouse,," Residential, Townhouse", Tile,1967,,, Los Gatos," High Ceilings, Vaulted Ceiling(s)",2,2,,2,86,A+,A,C,A+
227,302,19744439,98 Fairview Plz,95030,Los Gatos,CA,37.224316,-121.98829,3500000,4,3,2589,SINGLE_FAMILY,-1,3569000,7250,354873,10650.42,sqft,3,4,3,, Central Forced Air - Gas, None," Dishwasher, Freezer, Disposal, Microwave, Gas Oven, Refrigerator, Washer/Dryer",,2589," 2,589 sqft", Family Room, Open,,,, SingleFamily,," Residential, Single Family Residence"," Composition,Shingle",2001, Public Sewer,, Los Gatos," Storage, High Ceilings, Vaulted Ceiling(s), Walk-In Closet(s)",3,,,2,86,A+,A,C,A+
228,303,19746531,147 Escobar Ave,95032,Los Gatos,CA,37.24177,-121.94263,1188000,2,2,1015,TOWNHOUSE,-1,1202400,3200,78529,1825.164,sqft,2,2,2,, Central Forced Air, None,,,1015," 1,015 sqft",," Attached, Guest, On Street",,,, Townhouse,," Residential, Townhouse", Composition,1972, Public Sewer,, Los Gatos,,2,2,2,1,86,A+,A,C,A+
229,304,19744520,50 Clifton Ave,95030,Los Gatos,CA,37.222145,-121.98801,3295000,3,3,2020,SINGLE_FAMILY,-1,3374100,6410,1949935,0.8494,acres,3,3,3,, Central Forced Air, Central Air,,,2020," 2,020 sqft"," Family Room, Master Bedroom"," Drive Through, No Garage",,,, SingleFamily,," Residential, Single Family Residence", Tile,1975, Public Sewer,, Los Gatos,,,,,2,86,A+,A,C,A+
